name,full_address,description,tags,opening_date,osm_last_edit,osm_last_edit_age_days,osm_first_added,google_place_id,google_first_seen,google_first_review_date,source
Hesburger,"Messuaukio 1, 00520 Helsinki, FI",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;outdoor_seating:no;takeaway:yes,,2025-09-26T17:27:27Z,132,,,,,OpenStreetMap
Hesburger,"Itäkatu 7, 00930 Helsinki",burger cuisine,confidence:medium;cuisine:burger;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;fast_food;takeaway:yes,,2025-08-09T12:58:56Z,180,,,,,OpenStreetMap
Töölön Pizzapalvelu,,pizza cuisine,confidence:medium;cuisine:pizza;diet:halal:no;diet:kosher:no;fast_food;outdoor_seating:yes,,2025-12-08T09:35:20Z,59,,,,,OpenStreetMap
Café Engel,"Aleksanterinkatu 26, 00170 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2026-02-04T07:21:29Z,1,,,,,OpenStreetMap
Fazer Café,"Raumantie 1, 00350 Helsinki",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-12-25T11:23:23Z,42,,,,,OpenStreetMap
Block by Dylan,"Eteläranta 18, 00130 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-12-25T11:26:28Z,42,,,,,OpenStreetMap
Dragon Phoenix,"Pohjoinen Makasiinikatu 1, 00130 Helsinki, FI",chinese cuisine,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant,,2025-10-19T09:23:46Z,109,,,,,OpenStreetMap
Joe & The Juice,"Helsinki, FI",coffee_shop cuisine,cafe;confidence:medium;cuisine:coffee;cuisine:shop;takeaway:yes,,2025-09-19T15:19:31Z,139,,,,,OpenStreetMap
Singapore,"Lapinlahdenkatu 29, 00180 Helsinki, FI",chinese cuisine,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant,,2025-08-20T07:32:23Z,169,,,,,OpenStreetMap
Tacoya,"Lapinlahdenkatu 25, 00180 Helsinki, FI",mexican cuisine,confidence:medium;cuisine:mexican;restaurant,,2025-08-20T07:32:23Z,169,,,,,OpenStreetMap
Yarsa,"Kajaaninkatu 2, 00510 Helsinki, FI",nepalese cuisine,confidence:medium;cuisine:nepalese;diet:halal:no;diet:kosher:no;restaurant,,2025-12-26T16:11:38Z,41,,,,,OpenStreetMap
Unicafe,"Agnes Sjöbergin katu 2, 00790 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-12-16T14:50:50Z,51,,,,,OpenStreetMap
Chill & Grill,"Porvoonkatu 23, 00510 Helsinki, FI",steak_house cuisine,confidence:medium;cuisine:house;cuisine:steak;diet:halal:no;diet:kosher:no;restaurant,,2025-12-26T16:12:52Z,41,,,,,OpenStreetMap
The Old Skiffer,"Laivurinkatu 10, 00150 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-09-13T12:08:26Z,145,,,,,OpenStreetMap
Ravintola Savoy,"Eteläesplanadi 14, 00130 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-10-17T16:22:03Z,111,,,,,OpenStreetMap
Pizzeria Nikolai,"00190 Helsinki, FI",pizza cuisine,confidence:medium;cuisine:pizza;outdoor_seating:yes;restaurant,,2025-08-11T15:11:12Z,178,,,,,OpenStreetMap
Antin Kaffeliiteri,,,cafe;confidence:medium;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes,,2025-10-09T08:32:42Z,119,,,,,OpenStreetMap
Hua Fu Jiu Lou,"Helsinki, FI",chinese cuisine,confidence:medium;cuisine:chinese;diet:halal:no;diet:kosher:no;restaurant,,2025-10-04T11:39:18Z,124,,,,,OpenStreetMap
Ravintola Onda,"Porthaninkatu 4, 00530 Helsinki, FI",Lounasbuffet arkisin klo 11:00 - 15:00,confidence:medium;cuisine:buffet;diet:halal:no;diet:kosher:no;outdoor_seating:yes;restaurant,,2025-08-09T08:53:30Z,180,,,,,OpenStreetMap
Pizzeria Via Tribunali,"Sofiankatu 4, 00170 Helsinki, FI","pizza, italian cuisine",confidence:medium;cuisine:italian;cuisine:pizza;diet:gluten_free:no;diet:halal:no;diet:kosher:no;diet:vegan:yes;diet:vegetarian:yes;restaurant,,2025-11-28T18:20:32Z,69,,,,,OpenStreetMap
Burgers & Wine,"Jaalaranta 5, 00180 Helsinki",burger cuisine,confidence:medium;cuisine:burger;outdoor_seating:yes;restaurant,,2025-12-19T07:33:25Z,48,,,,,OpenStreetMap
Osteria dei Mancini,"Tehtaankatu 38, Helsinki, FI",italian cuisine,confidence:medium;cuisine:italian;restaurant,,2025-09-13T05:40:27Z,145,,,,,OpenStreetMap
Kellotorni,"Kaivokatu 1, 00100 Helsinki",,confidence:medium;restaurant,,2025-11-27T10:43:54Z,70,,,,,OpenStreetMap
Picnic,Kasarmikatu 42,,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2025-10-17T05:25:35Z,111,,,,,OpenStreetMap
Robert’s Coffee Jugend,"Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no,,2025-10-19T06:27:35Z,109,,,,,OpenStreetMap
Ravintola Teatteri,"Pohjoisesplanadi 2, 00130 Helsinki",,confidence:medium;diet:halal:no;diet:kosher:no;restaurant,,2025-10-17T17:30:21Z,111,,,,,OpenStreetMap
Manhattan Steak House,"Eteläesplanadi, 00100 Helsinki, FI",steak_house cuisine,confidence:medium;cuisine:house;cuisine:steak;diet:halal:no;diet:kosher:no;restaurant,,2026-01-09T21:51:21Z,27,,,,,OpenStreetMap
Ravintola Bronda,"Eteläesplanadi 20, 00130 Helsinki, FI",,confidence:medium;diet:halal:no;diet:kosher:no;diet:vegan:no;diet:vegetarian:yes;outdoor_seating:yes;restaurant,,2025-10-17T19:51:39Z,111,,,,,OpenStreetMap
Salutorget,,regional cuisine,confidence:medium;cuisine:regional;diet:halal:no;diet:kosher:no;restaurant,,2025-08-14T09:10:33Z,175,,,,,OpenStreetMap
Konnichiwa,"Fredrikinkatu 56, 00100 Helsinki, FI",sushi cuisine,confidence:medium;cuisine:sushi;diet:halal:no;diet:kosher:no;outdoor_seating:no;restaurant,,2025-09-07T15:05:52Z,151,,,,,OpenStreetMap
Fuji Biyori,"Korkeavuorenkatu 47, 00130 Helsinki, FI","japanese, sushi cuisine",confidence:medium;cuisine:japanese;cuisine:sushi;outdoor_seating:no;restaurant,,2025-10-17T16:18:06Z,111,,,,,OpenStreetMap
Café Strindberg,"Pohjoisesplanadi 33, 00130 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;diet:vegetarian:yes;outdoor_seating:yes,,2025-09-28T12:31:03Z,130,,,,,OpenStreetMap
Karl Fazer Café,"Kluuvikatu 3, 00100 Helsinki, FI",,cafe;confidence:medium;diet:halal:no;diet:kosher:no;outdoor_seating:yes,,2025-12-25T11:14:14Z,42,,,,,OpenStreetMap
